n_drones,n_chargers,on_time_mean,on_time_ci,on_time_min,on_time_max,p95_delivery_mean,late_count_mean,drone_util_fly,drone_util_charge,drone_util_wait,hits_sla
3,1,0.624994321608085,0.0738219953081764,0.2666666666666666,1.0,213.4317716272935,24.433333333333334,0.29235577553442416,0.277064014128418,0.2680419930279602,False
3,2,0.9701958063783906,0.026871899129422415,0.6888888888888889,1.0,86.42220709656334,2.6,0.3745738627512514,0.36639804275014615,0.015587109299851559,True
3,3,0.9596401078077325,0.029750870182903327,0.7380952380952381,1.0,84.94793775085786,3.5,0.3729022777531474,0.36473422375400866,0.0,True
3,4,0.9596401078077325,0.029750870182903327,0.7380952380952381,1.0,84.94793775085786,3.5,0.3729022777531474,0.36473422375400866,0.0,True
3,5,0.9596401078077325,0.029750870182903327,0.7380952380952381,1.0,84.94793775085786,3.5,0.3729022777531474,0.36473422375400866,0.0,True
3,6,0.9596401078077325,0.029750870182903327,0.7380952380952381,1.0,84.94793775085786,3.5,0.3729022777531474,0.36473422375400866,0.0,True
4,1,0.685621316579198,0.06045636486749793,0.3768115942028985,1.0,209.005663093256,21.0,0.2232345143516558,0.20393548072335205,0.3717444845769487,False
4,2,1.0,0.0,1.0,1.0,41.66362726794078,0.0,0.29161098729773294,0.2838138171535718,0.030251032684921665,True
4,3,1.0,0.0,1.0,1.0,30.57354794641884,0.0,0.2854336410729379,0.28090021919344926,0.00311043752050083,True
4,4,1.0,0.0,1.0,1.0,30.38754724523446,0.0,0.2916996432931182,0.28545302879740525,0.0,True
4,5,1.0,0.0,1.0,1.0,30.38754724523446,0.0,0.2916996432931182,0.28545302879740525,0.0,True
4,6,1.0,0.0,1.0,1.0,30.38754724523446,0.0,0.2916996432931182,0.28545302879740525,0.0,True
5,1,0.6829085786723421,0.0773178658083524,0.3432835820895522,1.0,207.3455509689796,21.566666666666666,0.18283244088647158,0.16234002123201843,0.4361127361479265,False
5,2,1.0,0.0,1.0,1.0,28.33048267638327,0.0,0.2372204295325954,0.22927766729101784,0.06604785360848461,True
5,3,1.0,0.0,1.0,1.0,20.379119986891304,0.0,0.23159440435046058,0.22675366724266524,0.008842841277823794,True
5,4,1.0,0.0,1.0,1.0,18.45981460043465,0.0,0.2305432090322973,0.22438314614796998,0.0011563225750161911,True
5,5,1.0,0.0,1.0,1.0,18.065389176706617,0.0,0.23006765185772052,0.2235169567875598,0.0,True
5,6,1.0,0.0,1.0,1.0,18.065389176706617,0.0,0.23006765185772052,0.2235169567875598,0.0,True
6,1,0.7109245882197655,0.05668954025911971,0.3611111111111111,1.0,206.39938682471274,20.2,0.15579007176096743,0.13347185466007144,0.45591357984434616,False
6,2,1.0,0.0,1.0,1.0,20.039372869425,0.0,0.193360329014776,0.18707890603925967,0.07966622653814337,True
6,3,1.0,0.0,1.0,1.0,12.142916266631,0.0,0.1934558038393379,0.19033461374605684,0.009708867036157679,True
6,4,1.0,0.0,1.0,1.0,11.538608822013995,0.0,0.1966615265934381,0.19151592097857556,0.001958876735870753,True
6,5,1.0,0.0,1.0,1.0,11.47206840740958,0.0,0.19548720688391347,0.19035030620049,0.00022698698379066667,True
6,6,1.0,0.0,1.0,1.0,11.47206840740958,0.0,0.19548720688391347,0.19036210074507492,0.0,True
7,1,0.7579238621544311,0.061404314598248196,0.4225352112676056,1.0,187.47671971198724,17.2,0.13704501529422483,0.11338562204683296,0.4554755650697874,False
7,2,1.0,0.0,1.0,1.0,19.383478699232167,0.0,0.16808161043476263,0.16217080170394418,0.0904843127026172,True
7,3,1.0,0.0,1.0,1.0,10.172751219336531,0.0,0.16494208790965145,0.15919703450935216,0.013287246032018234,True
7,4,1.0,0.0,1.0,1.0,9.330772251617422,0.0,0.1640310945319625,0.15822953040412785,0.0020210640072607314,True
7,5,1.0,0.0,1.0,1.0,9.11839995491321,0.0,0.16413362895995484,0.15884112235621536,0.00028145147780154925,True
7,6,1.0,0.0,1.0,1.0,9.11639128575349,0.0,0.16413362895995484,0.15912885304814914,2.171449306098e-05,True
8,1,0.8193391917850122,0.05022439650771479,0.463768115942029,1.0,164.6906302290923,13.3,0.1219366305757203,0.09872771879366972,0.45865171928760534,False
8,2,1.0,0.0,1.0,1.0,13.929803182793329,0.0,0.14523113265479515,0.1406375292874659,0.08575813167842201,True
8,3,1.0,0.0,1.0,1.0,8.905920810612233,0.0,0.14393791905896747,0.13746897492023924,0.013885450705214257,True
8,4,1.0,0.0,1.0,1.0,8.63541267072424,0.0,0.1436316009886063,0.1379837297260918,0.0031312580502613663,True
8,5,1.0,0.0,1.0,1.0,8.697404334656946,0.0,0.14435754561984288,0.13848641678989787,0.0008717506271415782,True
8,6,1.0,0.0,1.0,1.0,8.707188950588131,0.0,0.14438876429987688,0.13860971943623665,0.0001506619000089115,True
9,1,0.872262747497433,0.04222415547789575,0.618421052631579,1.0,144.9340793991514,9.5,0.11023191436640664,0.08660448372836285,0.432001476943593,False
9,2,1.0,0.0,1.0,1.0,11.146267577359875,0.0,0.1286057897312351,0.12352733754315974,0.08335615853191941,True
9,3,1.0,0.0,1.0,1.0,8.546039536730174,0.0,0.1281942111457207,0.1217049194181541,0.014723180793358555,True
9,4,1.0,0.0,1.0,1.0,8.562456111361206,0.0,0.12884638592832356,0.12234089727220888,0.0032510526943288227,True
9,5,1.0,0.0,1.0,1.0,8.557125933632674,0.0,0.12880712990914908,0.1225131429040241,0.0008302855196367468,True
9,6,1.0,0.0,1.0,1.0,8.557125933632674,0.0,0.12880712990914908,0.12233512208825584,0.00014714919719800357,True
10,1,0.8617006791348089,0.04168104493718682,0.581081081081081,1.0,147.92819325329324,10.4,0.10109553099696847,0.0766594355169076,0.42116369808815063,False
10,2,1.0,0.0,1.0,1.0,8.63287321683905,0.0,0.11613790487470557,0.11087561142112837,0.08101532129817111,True
10,3,1.0,0.0,1.0,1.0,8.552227469501188,0.0,0.11563484758855987,0.10950004110497544,0.013400840437496083,True
10,4,1.0,0.0,1.0,1.0,8.551240984674163,0.0,0.11573949367113309,0.11054141855021409,0.002925114235613408,True
10,5,1.0,0.0,1.0,1.0,8.551240984674163,0.0,0.11573949367113309,0.11024210348111445,0.0006736457229549707,True
10,6,1.0,0.0,1.0,1.0,8.551240984674163,0.0,0.11573949367113309,0.11005653283679734,0.0001486628921379987,True
